Order Region,Orders,Delayed,On_Time_or_Early,Avg_Delay_Gap_Days,Delay_Rate,On_Time_or_Early_Rate,Efficiency_Index,Regional_Delay_Index
Central Africa,1616,972,644,0.6280940594059405,60.148514851485146,39.851485148514854,39.851485148514854,104.98962555257111
Western Europe,25867,15140,10727,0.5963582943518769,58.53017358023737,41.46982641976263,41.46982641976263,102.16480029289339
South of  USA ,3855,2256,1599,0.5966277561608301,58.52140077821012,41.478599221789885,41.478599221789885,102.14948730965246
South Asia,7455,4350,3105,0.5965124077800135,58.35010060362173,41.649899396378274,41.649899396378274,101.85048173600644
East Africa,1781,1036,745,0.5889949466591803,58.169567658618746,41.83043234138125,41.83043234138125,101.53536030129493
East of USA,6617,3849,2768,0.5853105636995617,58.168354239081154,41.831645760918846,41.831645760918846,101.53324226956622
Southeast Asia,9136,5297,3839,0.5552758318739054,57.979422066549915,42.020577933450085,42.020577933450085,101.2034599283419
West Asia,5746,3322,2424,0.5750087017055343,57.814131569787676,42.18586843021232,42.18586843021232,100.91494428659556
Eastern Europe,3785,2182,1603,0.5854689564068692,57.64861294583884,42.35138705416116,42.35138705416116,100.62603044735492
US Center ,5653,3252,2401,0.6010967627808244,57.52697682646383,42.47302317353617,42.47302317353617,100.41371380648054
South America,14184,8111,6073,0.5559785673998872,57.184151156232375,42.815848843767625,42.815848843767625,99.81530935981577
Central America,27174,15518,11656,0.5578862147641127,57.10605726061677,42.893942739383235,42.893942739383235,99.67899595492344
North Africa,3086,1762,1324,0.5570317563188594,57.09656513285807,42.90343486714193,42.90343486714193,99.66242738391973
Southern Europe,9030,5129,3901,0.5128460686600221,56.79955703211517,43.200442967884825,43.200442967884825,99.1439978040694
West of USA ,7595,4313,3282,0.5598420013166557,56.78736010533245,43.21263989466754,43.21263989466754,99.12270798870205
Eastern Asia,6973,3955,3018,0.5640326975476839,56.718772407858886,43.281227592141114,43.281227592141114,99.0029877147594
Central Asia,542,306,236,0.6309963099630996,56.457564575645755,43.542435424354245,43.542435424354245,98.5470477374687
Oceania,9733,5482,4251,0.5592314805301551,56.32384670707901,43.676153292920986,43.676153292920986,98.31364232446431
Northern Europe,9408,5292,4116,0.5433673469387755,56.25,43.75,43.75,98.18474241490446
Southern Africa,1100,617,483,0.48,56.09090909090909,43.90909090909091,43.90909090909091,97.90704819393304
Caribbean,7951,4415,3536,0.5396805433278833,55.527606590366,44.47239340963401,44.47239340963401,96.92379999984423
West Africa,3571,1953,1618,0.548025763091571,54.6905628675441,45.30943713245589,45.30943713245589,95.46273471423923
Canada,907,468,439,0.37816979051819183,51.598676957001096,48.4013230429989,48.4013230429989,90.06582766174257
